model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
mlp_deep,dense,0.0117803643007792,0.0090112559987593,0.0122963364329491,0.5061711760267328,10263,0.7824197606159945,42.0,17.0,0.4518017759126753
historical_mean,baseline,0.0118469239232968,0.0090133650244024,0.0122835331005107,0.5245230139053574,23,0.0017534497217351,,,1.0
cnn_deep,convolutional,0.0117984002649282,0.0090162303889093,0.0123176528421023,0.5074108009054651,9815,0.7482656095143707,35.0,10.0,0.00338469962647
multibranch,mixed,0.0117279576970663,0.00901623778799,0.0123437139771965,0.5023175595558909,10471,0.7982770450560341,36.0,11.0,0.0039772447095482
conv_gru,mixed,0.0117545479868443,0.0090181314141263,0.0123200953266878,0.5025061981243937,10487,0.7994968361668064,36.0,13.0,0.0445320633572646
zero_return,baseline,0.0118233109339737,0.009029148451958,0.0122963948503801,0.0,0,0.0,,,0.0139557770676098
cnn,convolutional,0.011795445325832,0.0090539127030024,0.0123608274555044,0.5036380295354101,3095,0.2359533429900129,45.0,21.0,4.266252689836614e-07
lstm,recurrent,0.0118245110895731,0.0090582184244214,0.0123113030407402,0.5083539937479788,7927,0.6043302584432416,28.0,4.0,0.0011994325770293
gru,recurrent,0.0118103519546566,0.0090706507949455,0.0123405544920354,0.5082192519133341,6231,0.4750324007013798,30.0,6.0,2.7885127026159706e-07
mlp_small,dense,0.0117389783526786,0.0090902757141598,0.012424354500696,0.5051740864503611,4471,0.340855378516429,35.0,11.0,5.1420568390220835e-08
linear_regression,baseline,0.0118179980928663,0.0091242664810968,0.0124403835167935,0.5113452624770939,2668,0.2034001677212777,,,1.2327853474088058e-10
window_mean,baseline,0.0132352977946673,0.0100868355639097,0.0136564537204777,0.5016707987495957,0,0.0,,,3.756686272501066e-50
buy_and_hold,baseline,0.0167127513029917,0.0130647426110042,0.0178467714775727,0.496281125363803,0,0.0,,,2.523694510728137e-140
