input_window,output_window,model,family,mae_val,mae_test,n_params,best_baseline,dm_p_value,n_seeds,mae_test_mean,mae_test_std
5,1,mlp_deep,dense,0.0090112559987593,0.0122963364329491,10263,historical_mean,0.4518017759126753,3.0,0.0123183221970861,2.901113633030567e-05
5,5,historical_mean,baseline,0.0041345073361864,0.0055988198061451,23,historical_mean,1.0,,,
5,30,mlp_deep,dense,0.0017022955249917,0.0023217301944614,10263,historical_mean,0.8892831543911228,3.0,0.0023225373001034,9.891454194595595e-07
5,90,historical_mean,baseline,0.0009243718787216,0.0012685566493935,23,historical_mean,1.0,,,
10,1,historical_mean,baseline,0.0090125881030471,0.0122861290072178,23,historical_mean,1.0,,,
10,5,historical_mean,baseline,0.0041345924978755,0.0056000239813121,23,historical_mean,1.0,,,
10,30,mlp_deep,dense,0.0017019304526392,0.0023220585138235,17623,historical_mean,0.8301561740330577,3.0,0.0023213812651104,1.1444070468012349e-06
10,90,historical_mean,baseline,0.000924524116926,0.0012685497178585,23,historical_mean,1.0,,,
30,1,historical_mean,baseline,0.0090230409182332,0.0122898689926013,23,historical_mean,1.0,,,
30,5,historical_mean,baseline,0.0041387052129152,0.005602618796626,23,historical_mean,1.0,,,
30,30,mlp_deep,dense,0.0017024860362182,0.0023292276758313,47063,historical_mean,0.2570883046890657,3.0,0.0023250360488281,2.9772288191912915e-06
30,90,historical_mean,baseline,0.0009243902155148,0.0012691868317334,23,historical_mean,1.0,,,
90,1,historical_mean,baseline,0.0090304597917107,0.0123090218919611,23,historical_mean,1.0,,,
90,5,historical_mean,baseline,0.0041391549399274,0.0056137379085315,23,historical_mean,1.0,,,
90,30,historical_mean,baseline,0.0017041405380388,0.0023245286517013,23,historical_mean,1.0,,,
90,90,historical_mean,baseline,0.0009248889854202,0.001270971561578,23,historical_mean,1.0,,,
