input_window,output_window,model,family,mae_val,mae_test,n_params,best_baseline,dm_p_value,n_seeds,mae_test_mean,mae_test_std
5,1,mlp_deep,dense,0.0090112559987593,0.0122963364329491,10263,historical_mean,0.4518017759126753,3,0.0123183221970861,2.901113633030567e-05
5,5,cnn_deep,convolutional,0.004136783764789,0.0056060103668727,9815,historical_mean,0.3893196544661289,3,0.005606126377405,1.2398985790763577e-06
5,30,mlp_deep,dense,0.0017022955249917,0.0023217301944614,10263,historical_mean,0.8892831543911228,3,0.0023225373001034,9.891454194595595e-07
5,90,mlp_deep,dense,0.0009248613949531,0.0012671979782844,10263,historical_mean,0.7980739514294122,3,0.0012682982542254,7.798733275647981e-07
10,1,mlp_deep,dense,0.0090249558966727,0.0123011169039307,17623,historical_mean,0.0006424182905091,3,0.0123038391040914,2.071919317974885e-06
10,5,conv_gru,mixed,0.0041381160075743,0.0056007390835836,10487,historical_mean,0.5904153136766476,3,0.005601808392371,1.3713410100653897e-06
10,30,mlp_deep,dense,0.0017019304526392,0.0023220585138235,17623,historical_mean,0.8301561740330577,3,0.0023213812651104,1.1444070468012349e-06
10,90,mlp_deep,dense,0.0009250836255989,0.0012701551503116,17623,historical_mean,0.6248448955101205,3,0.0012686868130596,1.1831567040778606e-06
30,1,cnn_deep,convolutional,0.0090252666971092,0.0122913349792108,9815,historical_mean,0.933429533330796,3,0.0122933218635099,1.4068442996278747e-06
30,5,cnn_deep,convolutional,0.0041423948732029,0.0056170346784463,9815,historical_mean,0.3331593238085237,3,0.0056044580299457,8.932576611034571e-06
30,30,mlp_deep,dense,0.0017024860362182,0.0023292276758313,47063,historical_mean,0.2570883046890657,3,0.0023250360488281,2.9772288191912915e-06
30,90,mlp_deep,dense,0.0009254011184337,0.0012690415104476,47063,historical_mean,0.977038531874774,3,0.0012700545674733,7.24597234663916e-07
90,1,cnn_deep,convolutional,0.0090326830117403,0.0123141808580483,9815,historical_mean,0.3270734877713229,3,0.0123131943585431,2.2121609966399462e-06
90,5,conv_gru,mixed,0.0041409320116149,0.0056137003427397,10487,historical_mean,0.9826730555559178,3,0.0056152273368427,2.024261176249895e-06
90,30,mlp_deep,dense,0.0017052106894563,0.0023306608538052,135383,historical_mean,0.0438669388059756,3,0.0023301644494631,6.864895393366691e-07
90,90,mlp_deep,dense,0.000926005452755,0.0012737888939374,135383,historical_mean,0.3534076647683714,3,0.0012741683759124,2.79051235268008e-07
