model,family,input_window,output_window,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,n_train_samples,epochs_run,best_epoch,hit_epoch_limit,seconds,seed,best_baseline,dm_statistic,dm_p_value,params_to_samples,exceeds_param_rule
buy_and_hold,baseline,5,1,0.016712751302991737,0.013064742611004224,0.01784677147757274,0.496281125363803,0,13117,,,False,0.0,,historical_mean,27.914992471162314,2.5236945107281375e-140,0.0,False
zero_return,baseline,5,1,0.011823310933973787,0.009029148451958019,0.01229639485038011,0.0,0,13117,,,False,0.0,,historical_mean,2.4610763356200303,0.013955777067609842,0.0,False
window_mean,baseline,5,1,0.013235297794667342,0.010086835563909791,0.013656453720477786,0.5016707987495957,0,13117,,,False,0.0,,historical_mean,15.418525822699062,3.756686272501066e-50,0.0,False
historical_mean,baseline,5,1,0.011846923923296847,0.00901336502440245,0.012283533100510795,0.5245230139053574,23,13117,,,False,0.0,,historical_mean,0.0,1.0,0.0017534497217351528,False
linear_regression,baseline,5,1,0.011817998092866315,0.009124266481096856,0.0124403835167935,0.5113452624770939,2668,13117,,,False,0.0,,historical_mean,6.477622472632421,1.232785347408806e-10,0.20340016772127772,True
mlp_small,dense,5,1,0.011738978352678607,0.009090275714159867,0.012424354500696056,0.5051740864503611,4471,13117,35.0,11.0,False,10.9,42.0,historical_mean,5.472220067491014,5.142056839022083e-08,0.34085537851642905,True
mlp_deep,dense,5,1,0.011780364300779247,0.009011255998759366,0.012296336432949195,0.5061711760267328,10263,13117,42.0,17.0,False,15.4,42.0,historical_mean,0.7525965904790688,0.45180177591267534,0.7824197606159945,True
lstm,recurrent,5,1,0.011824511089573147,0.009058218424421463,0.012311303040740273,0.5083539937479788,7927,13117,28.0,4.0,False,14.7,42.0,historical_mean,3.244771722853933,0.0011994325770293723,0.6043302584432416,True
gru,recurrent,5,1,0.011810351954656613,0.009070650794945533,0.012340554492035485,0.5082192519133341,6231,13117,30.0,6.0,False,17.0,42.0,historical_mean,5.159015656648312,2.7885127026159706e-07,0.47503240070137986,True
cnn,convolutional,5,1,0.011795445325832,0.009053912703002468,0.012360827455504448,0.5036380295354101,3095,13117,45.0,21.0,False,21.0,42.0,historical_mean,5.077497737163743,4.2662526898366136e-07,0.23595334299001297,True
