input_window,output_window,model,n_seeds,mae_val_mean,mae_val_std,mae_test_mean,mae_test_std
5,1,mlp_deep,3,0.0090147704014192,1.159750747978036e-05,0.012318322197086125,2.901113633030567e-05
5,5,cnn_deep,3,0.0041390057258326235,3.5283281780038948e-06,0.005606126377405057,1.2398985790763577e-06
5,30,mlp_deep,3,0.0017027553046818757,4.3977321043495605e-07,0.0023225373001034178,9.891454194595597e-07
5,90,mlp_deep,3,0.0009252441223728849,5.886341689438945e-07,0.0012682982542254484,7.798733275647981e-07
10,1,mlp_deep,3,0.009024645811634783,2.803299499857849e-07,0.012303839104091443,2.0719193179748855e-06
10,5,conv_gru,3,0.004138331172321073,2.168537624196622e-06,0.005601808392371032,1.3713410100653897e-06
10,30,mlp_deep,3,0.00170103262811872,1.46297270737954e-06,0.0023213812651104635,1.1444070468012349e-06
10,90,mlp_deep,3,0.0009253959629062428,5.291959774156426e-07,0.0012686868130596662,1.1831567040778606e-06
30,1,cnn_deep,3,0.009028774239041915,2.480249987019909e-06,0.012293321863509926,1.4068442996278747e-06
30,5,cnn_deep,3,0.004143222301286404,2.7331635017136545e-06,0.005604458029945755,8.932576611034571e-06
30,30,mlp_deep,3,0.0017021332282534244,2.5877833058273974e-07,0.0023250360488281238,2.9772288191912915e-06
30,90,mlp_deep,3,0.0009256072883081748,5.06575963163764e-07,0.0012700545674733908,7.24597234663916e-07
90,1,cnn_deep,3,0.00903344226131572,1.5666405918642666e-06,0.012313194358543162,2.2121609966399462e-06
90,5,conv_gru,3,0.004143088291506776,1.5247299999725527e-06,0.0056152273368427095,2.024261176249895e-06
90,30,mlp_deep,3,0.0017053788218235595,8.622396299044151e-07,0.002330164449463162,6.864895393366691e-07
90,90,mlp_deep,3,0.0009266962270772991,7.577644312537106e-07,0.001274168375912418,2.7905123526800793e-07
